,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
479,,,,,50.0,1998.0
480,,,,,55.0,1998.0
481,,,,,35.0,1998.0
482,,,,,40.0,1998.0
483,,,,,,1998.0
484,,,,,,1998.0
485,,,,1992.0,,1998.0
486,,,,,40.0,1998.0
487,,,,,,1998.0
488,,,,,40.0,1998.0
489,,,,,39.0,1998.0
490,,,,,,1998.0
491,,,,,40.0,1998.0
492,,,,,,1998.0
493,,,,,15.0,1998.0
494,,,,,20.0,1998.0
495,,,,,40.0,1998.0
496,,,,,,1998.0
497,,,,,60.0,1998.0
498,,,,,25.0,1998.0
499,,,,,45.0,1998.0
500,,,,,,1998.0
501,,,,,,1998.0
502,,,,,,1998.0
503,,,,,,1998.0
504,,,,,,1998.0
505,,,,,,1998.0
506,,,,,,1998.0
507,,,,,,1998.0
508,,,,,40.0,1998.0
509,,,,,40.0,1998.0
510,,,,,15.0,1998.0
511,,,,,40.0,1998.0
512,,,,,,1998.0
513,,,,,40.0,1998.0
514,,,,,,1998.0
515,,,,,,1998.0
516,,,,,,1998.0
517,,,,,,1998.0
518,,,,,40.0,1998.0
519,,,,,,1998.0
520,,,,,10.0,1998.0
521,,,,,40.0,1998.0
522,,,,,,1998.0
523,,,,,,1998.0
524,,,,,60.0,1998.0
525,,,,,40.0,1998.0
526,,,,,40.0,1998.0
527,,,,,,1998.0
528,,,,,40.0,1998.0
529,,,,,,1998.0
530,,,,,80.0,1998.0
531,,,,,40.0,1998.0
532,,,,,,1998.0
533,,,,,40.0,1998.0
534,,,,,50.0,1998.0
535,,,,,40.0,1998.0
536,,,,,35.0,1998.0
537,,,,,,1998.0
538,,,,,40.0,1998.0
539,,,,,40.0,1998.0
540,,,,1996.0,,1998.0
541,,,,,,1998.0
542,,,,,30.0,1998.0
543,,,,,20.0,1998.0
544,,,,,,1998.0
545,,,,,,1998.0
546,,,,,,1998.0
547,,,,,,1998.0
548,,,,,40.0,1998.0
549,,,,,,1998.0
550,,,,1979.0,,1998.0
551,,,,,,1998.0
552,,,,,,1998.0
553,,,,,,1998.0
554,,,,,38.0,1998.0
555,,,,,40.0,1998.0
556,,,,,30.0,1998.0
557,,,,,40.0,1998.0
558,,,,,50.0,1998.0
559,,,,,55.0,1998.0
560,,,,,,1998.0
561,,,,,16.0,1998.0
562,,,,,,1998.0
563,,,,,40.0,1998.0
564,,,,,56.0,1998.0
565,,,,,40.0,1998.0
566,,,,,30.0,1998.0
567,,,,,35.0,1998.0
568,,,,,30.0,1998.0
569,,,,,,1998.0
570,,,,,,1998.0
571,,,,,57.0,1998.0
572,,,,,35.0,1998.0
573,,,,,75.0,1998.0
574,,,,,75.0,1998.0
575,,,,,,1998.0
576,,,,,35.0,1998.0
577,,,,,,1998.0
578,,,,,18.0,1998.0
579,,,,,47.0,1998.0
580,,,,,52.0,1998.0
581,,,,,45.0,1998.0
582,,,,,40.0,1998.0
583,,,,,,1998.0
584,,,,,38.0,1998.0
585,,,,,35.0,1998.0
586,,,,,40.0,1998.0
587,,,,,,1998.0
588,,,,,48.0,1998.0
589,,,,1991.0,,1998.0
590,,,,,,1998.0
591,,,,,,1998.0
592,,,,,28.0,1998.0
593,,,,,,1998.0
594,,,,,40.0,1998.0
595,,,,,35.0,1998.0
596,,,,,40.0,1998.0
597,,,,,,1998.0
598,,,,,45.0,1998.0
599,,,,,,1998.0
600,,,,,40.0,1998.0
601,,,,,50.0,1998.0
602,,,,,60.0,1998.0
603,,,,,,1998.0
604,,,,,46.0,1998.0
605,,,,,4.0,1998.0
606,,,,1989.0,,1998.0
607,,,,,36.0,1998.0
608,,,,1996.0,,1998.0
609,,,,,,1998.0
610,,,,,11.0,1998.0
611,,,,,26.0,1998.0
612,,,,,40.0,1998.0
613,,,,,36.0,1998.0
614,,,,,38.0,1998.0
615,,,,1978.0,,1998.0
616,,,,,40.0,1998.0
617,,,,,,1998.0
618,,,,,20.0,1998.0
619,,,,1996.0,,1998.0
620,,,,,60.0,1998.0
621,,,,1981.0,,1998.0
622,,,,1978.0,,1998.0
623,,,,,38.0,1998.0
624,,,,,50.0,1998.0
625,,,,,45.0,1998.0
626,,,,,,1998.0
627,,,,,70.0,1998.0
628,,,,,35.0,1998.0
629,,,,,40.0,1998.0
630,,,,,40.0,1998.0
631,,,,,23.0,1998.0
632,,,,,35.0,1998.0
633,,,,,70.0,1998.0
634,,,,,25.0,1998.0
635,,,,,45.0,1998.0
636,,,,,,1998.0
637,,,,1970.0,,1998.0
638,,,,1991.0,,1998.0
639,,,,,29.0,1998.0
640,,,,,30.0,1998.0
641,,,,1997.0,,1998.0
642,,,,,,1998.0
643,,,,,,1998.0
644,,,,,,1998.0
645,,,,,,1998.0
646,,,,,,1998.0
647,,,,,32.0,1998.0
648,,,,,40.0,1998.0
649,,,,,,1998.0
650,,,,,40.0,1998.0
651,,,,,40.0,1998.0
652,,,,,30.0,1998.0
653,,,,,,1998.0
654,,,,,70.0,1998.0
655,,,,,,1998.0
656,,,,,20.0,1998.0
657,,,,,40.0,1998.0
658,,,,,45.0,1998.0
659,,,,,20.0,1998.0
660,,,,,,1998.0
661,,,,,,1998.0
662,,,,1995.0,1.0,1998.0
663,,,,,20.0,1998.0
664,,,,,40.0,1998.0
665,,,,,,1998.0
666,,,,,60.0,1998.0
667,,,,,39.0,1998.0
668,,,,,40.0,1998.0
669,,,,,50.0,1998.0
670,,,,,,1998.0
671,,,,,,1998.0
672,,,,,50.0,1998.0
673,,,,,40.0,1998.0
674,,,,,40.0,1998.0
675,,,,,,1998.0
676,,,,1982.0,,1998.0
677,,,,,50.0,1998.0
678,,,,,50.0,1998.0
679,,,,,40.0,1998.0
680,,,,,40.0,1998.0
681,,,,,52.0,1998.0
682,,,,,40.0,1998.0
683,,,,,45.0,1998.0
684,,,,,42.0,1998.0
